room_id,room_name,room_type,capacity,current_occupancy,special_note,last_updated
R001,Ruang Asoka,Poli Gigi,10,7,,2024-10-21
R002,Ruang Canna,Laboratorium,4,1,,2025-07-09
R003,Ruang Sepatu,NICU,1,1,Pasien kritis; 1 bed,2024-06-09
R004,Ruang Sedap Malam,Poli Anak,10,5,,2024-05-07
R005,Ruang Kasturi,Laboratorium,2,0,,2024-02-21
R006,Ruang Begonia,Poli Anak,10,0,,2025-09-29
R007,Ruang Lily,Rawat Inap,4,3,,2025-07-17
R008,Ruang Dahlia,ICU,1,0,Pasien kritis; 1 bed,2024-04-04
R009,Ruang Magnolia,Isolasi,1,0,PPE wajib,2024-07-06
R010,Ruang Sakura,Rawat Inap,4,4,,2025-04-05
R011,Ruang Flamboyan,Poli Umum,10,5,,2024-11-19
R012,Ruang Dahlia 9,Poli Umum,10,4,,2025-03-30
R013,Ruang Anyelir,Isolasi,1,1,Tekanan negatif,2023-12-27
R014,Ruang Anggrek,Isolasi,1,0,Pasien menular,2025-09-09
R015,Ruang Bougenville,Laboratorium,2,2,,2024-08-04
R016,Ruang Sedap Malam 2,Poli Anak,10,3,,2024-07-01
R017,Ruang Lily 12,Poli Gigi,10,4,,2024-05-02
R018,Ruang Soka,Poli Umum,10,9,,2025-07-15
R019,Ruang Mawar,Bersalin,4,4,,2025-06-29
R020,Ruang Peony,Laboratorium,6,3,,2024-09-10
R021,Ruang Krisan,Ruang Operasi,1,0,Bedah mayor,2024-10-21
R022,Ruang Lily 4,Isolasi,1,1,Tekanan negatif,2024-07-22
R023,Ruang Lembayung,Poli Gigi,10,3,,2024-07-23
R024,Ruang Kamboja,Ruang Operasi,1,0,Bedah minor,2024-10-29
R025,Ruang Kenanga,ICU,1,1,Pasien kritis; 1 bed,2024-11-08
R026,Ruang Tulip,Poli Gigi,10,10,,2024-07-28
R027,Ruang Nusa Indah,NICU,1,1,Pasien kritis; 1 bed,2024-05-10
R028,Ruang Rafflesia,Rawat Inap,8,7,,2023-11-13
R029,Ruang Melati,Poli Umum,10,10,,2024-08-25
R030,Ruang Jasmine,ICU,1,0,Pasien kritis; 1 bed,2025-10-27
R031,Ruang Kemuning,Bersalin,6,0,,2024-09-08
R032,Ruang Sepatu 3,Ruang Operasi,1,0,Bedah mayor,2024-04-30
R033,Ruang Kamboja 2,Poli Anak,10,2,,2025-01-10
R034,Ruang Angsana,Ruang Operasi,1,1,Bedah mayor,2024-10-03
R035,Ruang Peony 7,Rawat Inap,2,0,,2025-06-09
R036,Ruang Cempaka,Bersalin,8,4,,2025-09-09
R037,Ruang Soka 2,NICU,1,0,Pasien kritis; 1 bed,2024-10-31
R038,Ruang Kemuning 2,Radiologi,4,2,,2025-08-29
R039,Ruang Soka 2,Radiologi,2,0,,2024-12-01
R040,Ruang Lembayung 2,Poli Anak,10,6,,2025-08-19
R041,Ruang Peony 4,Isolasi,1,0,Tekanan negatif,2025-02-19
R042,Ruang Kenanga 7,Laboratorium,8,6,,2025-02-08
R043,Ruang Anggrek 7,Ruang Operasi,1,1,Bedah minor,2024-07-02
R044,Ruang Anyelir 7,Poli Anak,10,5,,2024-05-10
R045,Ruang Angsana 3,Radiologi,2,0,,2024-11-13
R046,Ruang Kenanga 7,Poli Gigi,10,10,,2025-07-02
R047,Ruang Nusa Indah 3,Laboratorium,4,0,,2023-12-08
R048,Ruang Angsana 9,Poli Gigi,10,6,,2025-07-08
R049,Ruang Teratai,Poli Anak,10,8,,2025-02-09
R050,Ruang Mawar 5,Poli Anak,10,1,,2024-08-16
R051,Ruang Tulip 9,Bersalin,4,3,,2025-07-29
R052,Ruang Seruni,Poli Anak,10,9,,2024-10-19
R053,Ruang Kamboja 10,Radiologi,4,2,,2025-03-12
R054,Ruang Krisan 4,NICU,1,1,Pasien kritis; 1 bed,2024-07-29
R055,Ruang Sakura 9,NICU,1,0,Pasien kritis; 1 bed,2024-11-20
R056,Ruang Mawar 4,Ruang Operasi,1,1,Bedah mayor,2025-02-25
R057,Ruang Nusa Indah 5,ICU,1,1,Pasien kritis; 1 bed,2023-12-02
R058,Ruang Angsana 8,NICU,1,1,Pasien kritis; 1 bed,2023-11-12
R059,Ruang Lavender,NICU,1,1,Pasien kritis; 1 bed,2024-08-11
R060,Ruang Krisan 4,Isolasi,1,1,Tekanan negatif,2025-05-10
R061,Ruang Mawar 11,Poli Umum,10,5,,2024-05-04
R062,Ruang Flamboyan 9,Poli Gigi,10,2,,2025-10-21
R063,Ruang Kupu-Kupu,Ruang Operasi,1,1,Bedah minor,2024-02-09
R064,Ruang Asoka 5,Isolasi,1,1,PPE wajib,2024-05-23
R065,Ruang Jasmine 6,Rawat Inap,2,1,,2024-07-11
R066,Ruang Rafflesia 6,ICU,1,0,Pasien kritis; 1 bed,2025-11-03
R067,Ruang Magnolia 3,Bersalin,8,2,,2024-09-10
R068,Ruang Angsana 9,NICU,1,0,Pasien kritis; 1 bed,2024-07-21
R069,Ruang Kertas,Laboratorium,2,0,,2024-03-30
R070,Ruang Lily 4,Isolasi,1,0,Pasien menular,2024-01-09
R071,Ruang Flamboyan 12,Ruang Operasi,1,1,Bedah minor,2024-09-22
R072,Ruang Sakura 10,Rawat Inap,8,5,,2025-06-22
R073,Ruang Pucuk Merah,Ruang Operasi,1,0,Bedah mayor,2023-11-15
R074,Ruang Kenikir,Poli Gigi,10,7,,2025-11-04
